Compare different server modes with TcompactProtocol,,,,,,
,,,,,,
Base on Bytes per second,,,,,,
Size,Type,Kilobytes (per second),Requests (per second),,,
1024,SimpleServer,456,456,,,
,NonBlockingServer,469,469,,,
,ThreadPoolServer,9318.4,9320,,,
,ThreadedSelectorServer,4710.4,4753,,,
,HsHa,2355.2,2346,,,
Size,Type,Megabytes (per second),Requests (per second),,,
10240,SimpleServer,4.4,449,,,
,NonBlockingServer,4.5,464,,,
,ThreadPoolServer,87.9,9006,,,
,ThreadedSelectorServer,45.3,4640,,,
,HsHa,22.6,2319,,,
102400,SimpleServer,42.2,432,,,
,NonBlockingServer,42,430,,,
,ThreadPoolServer,564.3,5778,,,
,ThreadedSelectorServer,369,3779,,,
,HsHa,212.7,2178,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,Timeout = 5s => ThreadPoolSize = 10 timeout,
,,,,,,ThreadPoolSize = 15 timeout luon
,,,,,No timeout set => ThreadPoolSize = 10 connection reset,
,,,,,,ThreadPoolSize = 15 connection reset luon
Size,ThreadPoolSize,Megabytes (per second),Requests (per second),,,
1024,20,9.1,9271,,,
10240,20,87.6,8968,,,
102400,20,528.9,5416,,,
,,,,,,
1024,30,9.1,9307,,,
10240,30,86.5,8856,,,
102400,30,579.8,5937,,,
,,,,,,
1024,40,8.8,8973,,,
10240,40,87.4,8948,,,
102400,40,577.6,5915,,,
,,,,,,
1024,80,9,9265,,,
10240,80,85.9,8795,,,
102400,80,584.7,5987,,,
,,,,,,
,160,9.1,9293,,,
,160,86.6,8864,,,
,160,552.7,5660,,,
